FlightDate,OriginCityName,OriginStateName,DestCityName,DestStateName,DestWac,DepTime,CRSArrTime,ArrTime,ArrDelay
02-05-19,"Houston, TX",Texas,"Dallas/Fort Worth, TX",Texas,74,735,854,1136,
02-05-19,"Newark, NJ",New Jersey,"Washington, DC",Virginia,38,1813,1703,2123,260
02-05-19,"Houston, TX",Texas,"Pittsburgh, PA",Pennsylvania,23,2224,2336,207,151
02-05-19,"Newark, NJ",New Jersey,"Key West, FL",Florida,33,1221,1224,1529,185
02-05-19,"Newark, NJ",New Jersey,"Minneapolis, MN",Minnesota,63,1953,1939,2251,192
02-05-19,"Newark, NJ",New Jersey,"Fort Lauderdale, FL",Florida,33,1911,2110,2253,103
02-05-19,"Dallas/Fort Worth, TX",Texas,"Newark, NJ",New Jersey,21,1501,1409,2035,386
02-05-19,"Louisville, KY",Kentucky,"Newark, NJ",New Jersey,21,705,812,919,67
02-05-19,"Charlotte, NC",North Carolina,"Indianapolis, IN",Indiana,42,1136,1327,1312,-15
02-05-19,"Indianapolis, IN",Indiana,"Charlotte, NC",North Carolina,36,1356,1537,1547,10
02-05-19,"Washington, DC",Virginia,"Pittsburgh, PA",Pennsylvania,23,2317,2107,36,209
02-05-19,"Kansas City, MO",Missouri,"Philadelphia, PA",Pennsylvania,23,1103,1439,1452,13
02-05-19,"Philadelphia, PA",Pennsylvania,"Kansas City, MO",Missouri,64,819,1028,1039,11
02-05-19,"Memphis, TN",Tennessee,"Washington, DC",Virginia,38,555,914,855,-19
02-05-19,"Washington, DC",Virginia,"Kansas City, MO",Missouri,64,2319,2155,55,180
02-05-19,"New York, NY",New York,"West Palm Beach/Palm Beach, FL",Florida,33,901,1216,1210,-6
02-05-19,"West Palm Beach/Palm Beach, FL",Florida,"New York, NY",New York,22,1244,1548,1533,-15
02-05-19,"Key West, FL",Florida,"Miami, FL",Florida,33,701,749,744,-5
02-05-19,"Washington, DC",Virginia,"Jacksonville, FL",Florida,33,,2309,,
02-05-19,"Charlotte, NC",North Carolina,"Indianapolis, IN",Indiana,42,1444,1630,1619,-11
02-05-19,"Indianapolis, IN",Indiana,"Charlotte, NC",North Carolina,36,1703,1850,1850,0
02-05-19,"Fayetteville, AR",Arkansas,"New York, NY",New York,22,1529,1913,2019,66
02-05-19,"Washington, DC",Virginia,"Kansas City, MO",Missouri,64,825,1027,1039,12
02-05-19,"Kansas City, MO",Missouri,"Washington, DC",Virginia,38,1111,1429,1449,20
02-05-19,"New York, NY",New York,"St. Louis, MO",Missouri,64,2205,1954,2352,238
02-05-19,"Key West, FL",Florida,"Miami, FL",Florida,33,1210,1245,1259,14
02-05-19,"Miami, FL",Florida,"Key West, FL",Florida,33,1043,1125,1143,18
02-05-19,"Columbus, OH",Ohio,"Philadelphia, PA",Pennsylvania,23,903,1000,1039,39
02-05-19,"Charlotte, NC",North Carolina,"Jacksonville, FL",Florida,33,1756,1922,1917,-5
02-05-19,"Jacksonville, FL",Florida,"Charlotte, NC",North Carolina,36,1951,2120,2110,-10
02-05-19,"Greensboro/High Point, NC",North Carolina,"Philadelphia, PA",Pennsylvania,23,1809,1933,1948,15
02-05-19,"Philadelphia, PA",Pennsylvania,"Greensboro/High Point, NC",North Carolina,36,1540,1717,1732,15
02-05-19,"Pittsburgh, PA",Pennsylvania,"Washington, DC",Virginia,38,2122,2100,2300,120
02-05-19,"Miami, FL",Florida,"New York, NY",New York,22,550,900,855,-5
02-05-19,"Portland, ME",Maine,"Washington, DC",Virginia,38,551,759,746,-13
02-05-19,"New York, NY",New York,"Raleigh/Durham, NC",North Carolina,36,1537,1736,1742,6
02-05-19,"Raleigh/Durham, NC",North Carolina,"New York, NY",New York,22,1829,2000,2044,44
02-05-19,"Huntsville, AL",Alabama,"Washington, DC",Virginia,38,605,918,857,-21
02-05-19,"New York, NY",New York,"Washington, DC",Virginia,38,1119,1251,1236,-15
02-05-19,"Charleston, SC",South Carolina,"Miami, FL",Florida,33,1839,2026,2039,13
02-05-19,"Miami, FL",Florida,"Charleston, SC",South Carolina,37,1614,1804,1808,4
02-05-19,"Indianapolis, IN",Indiana,"Charlotte, NC",North Carolina,36,838,1024,1028,4
02-05-19,"Washington, DC",Virginia,"Charlotte, NC",North Carolina,36,2115,2135,2236,61
02-05-19,"Washington, DC",Virginia,"New Orleans, LA",Louisiana,72,2000,1909,2153,164
02-05-19,"Charlotte, NC",North Carolina,"Washington, DC",Virginia,38,2306,1,31,30
02-05-19,"New York, NY",New York,"St. Louis, MO",Missouri,64,1334,1533,1508,-25
02-05-19,"St. Louis, MO",Missouri,"New York, NY",New York,22,1604,1940,1956,16
02-05-19,"Washington, DC",Virginia,"New Orleans, LA",Louisiana,72,1145,1343,1332,-11
02-05-19,"Washington, DC",Virginia,"Indianapolis, IN",Indiana,42,1854,1856,2043,107
02-05-19,"Indianapolis, IN",Indiana,"Washington, DC",Virginia,38,2111,2116,2324,128
02-05-19,"Charlotte, NC",North Carolina,"Omaha, NE",Nebraska,65,1458,1642,1655,13
02-05-19,"Omaha, NE",Nebraska,"Charlotte, NC",North Carolina,36,1724,2044,2111,27
02-05-19,"Washington, DC",Virginia,"Portland, ME",Maine,12,1456,1637,1631,-6
02-05-19,"Portland, ME",Maine,"Washington, DC",Virginia,38,2005,1900,2226,206
02-05-19,"Oklahoma City, OK",Oklahoma,"Philadelphia, PA",Pennsylvania,23,1109,1514,1516,2
02-05-19,"Philadelphia, PA",Pennsylvania,"Oklahoma City, OK",Oklahoma,73,757,1039,1033,-6
02-05-19,"Miami, FL",Florida,"Richmond, VA",Virginia,38,1502,1732,1718,-14
02-05-19,"Richmond, VA",Virginia,"Miami, FL",Florida,33,1807,2039,2059,20
02-05-19,"Washington, DC",Virginia,"Fort Myers, FL",Florida,33,1156,1440,1434,-6
02-05-19,"Fort Myers, FL",Florida,"Washington, DC",Virginia,38,1726,1808,2300,292
02-05-19,"Washington, DC",Virginia,"Philadelphia, PA",Pennsylvania,23,1548,1704,1729,25
02-05-19,"Columbus, OH",Ohio,"Washington, DC",Virginia,38,1245,928,1353,265
02-05-19,"Washington, DC",Virginia,"Kansas City, MO",Missouri,64,1503,1553,,
02-05-19,"Kansas City, MO",Missouri,"Washington, DC",Virginia,38,,2030,,
02-05-19,"New York, NY",New York,"Knoxville, TN",Tennessee,54,1152,1420,1351,-29
02-05-19,"Knoxville, TN",Tennessee,"New York, NY",New York,22,1442,1652,1651,-1
02-05-19,"Burlington, VT",Vermont,"Washington, DC",Virginia,38,1158,1347,1338,-9
02-05-19,"Washington, DC",Virginia,"Burlington, VT",Vermont,16,949,1132,1117,-15
02-05-19,"Washington, DC",Virginia,"Oklahoma City, OK",Oklahoma,73,2118,2025,2332,187
02-05-19,"Oklahoma City, OK",Oklahoma,"Washington, DC",Virginia,38,702,1044,1055,11
02-05-19,"Minneapolis, MN",Minnesota,"Washington, DC",Virginia,38,658,1045,1030,-15
02-05-19,"Philadelphia, PA",Pennsylvania,"Des Moines, IA",Iowa,61,1845,2054,2045,-9
02-05-19,"Charlotte, NC",North Carolina,"Tallahassee, FL",Florida,33,1813,1950,1957,7
02-05-19,"Tallahassee, FL",Florida,"Charlotte, NC",North Carolina,36,2031,2150,2147,-3
02-05-19,"New York, NY",New York,"Detroit, MI",Michigan,43,1910,2109,2218,69
02-05-19,"New York, NY",New York,"Pittsburgh, PA",Pennsylvania,23,1756,1934,2006,32
02-05-19,"Pittsburgh, PA",Pennsylvania,"New York, NY",New York,22,2118,2212,2254,42
02-05-19,"Pittsburgh, PA",Pennsylvania,"Philadelphia, PA",Pennsylvania,23,601,730,751,21
02-05-19,"Philadelphia, PA",Pennsylvania,"St. Louis, MO",Missouri,64,2103,2248,2235,-13
02-05-19,"Nashville, TN",Tennessee,"Miami, FL",Florida,33,1309,1630,1624,-6
02-05-19,"Miami, FL",Florida,"Nashville, TN",Tennessee,54,1058,1230,1220,-10
02-05-19,"Washington, DC",Virginia,"Philadelphia, PA",Pennsylvania,23,1026,1138,1115,-23
02-05-19,"Washington, DC",Virginia,"Valparaiso, FL",Florida,33,1155,1321,1324,3
02-05-19,"Valparaiso, FL",Florida,"Washington, DC",Virginia,38,1716,1714,2040,206
02-05-19,"Buffalo, NY",New York,"Washington, DC",Virginia,38,1145,1314,1308,-6
02-05-19,"Washington, DC",Virginia,"Buffalo, NY",New York,22,959,1124,1115,-9
02-05-19,"Charlotte, NC",North Carolina,"Columbus, OH",Ohio,44,849,1020,1005,-15
02-05-19,"Columbus, OH",Ohio,"Charlotte, NC",North Carolina,36,1045,1220,1212,-8
02-05-19,"Pittsburgh, PA",Pennsylvania,"Miami, FL",Florida,33,643,945,923,-22
02-05-19,"New York, NY",New York,"Fayetteville, AR",Arkansas,71,2052,2227,6,99
02-05-19,"Washington, DC",Virginia,"Portland, ME",Maine,12,2242,2344,8,24
02-05-19,"Nashville, TN",Tennessee,"Washington, DC",Virginia,38,549,846,842,-4
02-05-19,"Philadelphia, PA",Pennsylvania,"St. Louis, MO",Missouri,64,1058,1247,1244,-3
02-05-19,"St. Louis, MO",Missouri,"Philadelphia, PA",Pennsylvania,23,1326,1639,1654,15
02-05-19,"Washington, DC",Virginia,"Pittsburgh, PA",Pennsylvania,23,707,1834,803,809
02-05-19,"Tallahassee, FL",Florida,"Washington, DC",Virginia,38,705,913,901,-12
02-05-19,"Miami, FL",Florida,"Pittsburgh, PA",Pennsylvania,23,1931,2217,2214,-3
02-05-19,"Cincinnati, OH",Kentucky,"Washington, DC",Virginia,38,1206,1334,1330,-4
02-05-19,"Washington, DC",Virginia,"Cincinnati, OH",Kentucky,52,957,1137,1135,-2
02-05-19,"Oklahoma City, OK",Oklahoma,"Philadelphia, PA",Pennsylvania,23,555,1000,1029,29
02-05-19,"Buffalo, NY",New York,"Washington, DC",Virginia,38,614,750,725,-25
02-05-19,"Miami, FL",Florida,"Tallahassee, FL",Florida,33,2140,2309,2301,-8
02-05-19,"Washington, DC",Virginia,"Indianapolis, IN",Indiana,42,2220,2135,22,167
02-05-19,"Washington, DC",Virginia,"Minneapolis, MN",Minnesota,63,956,1150,1140,-10
02-05-19,"Minneapolis, MN",Minnesota,"Washington, DC",Virginia,38,1304,1559,2046,
02-05-19,"New York, NY",New York,"Pittsburgh, PA",Pennsylvania,23,1623,1809,1802,-7
02-05-19,"Charlotte, NC",North Carolina,"Columbus, OH",Ohio,44,725,857,900,3
02-05-19,"Columbus, OH",Ohio,"Charlotte, NC",North Carolina,36,930,1105,1050,-15
02-05-19,"Atlanta, GA",Georgia,"Washington, DC",Virginia,38,2005,1900,2226,206
02-05-19,"Washington, DC",Virginia,"Atlanta, GA",Georgia,34,1427,1630,1711,41
02-05-19,"Nashville, TN",Tennessee,"Philadelphia, PA",Pennsylvania,23,844,1156,1139,-17
02-05-19,"Charlotte, NC",North Carolina,"Hilton Head, SC",South Carolina,37,1257,1406,1415,9
02-05-19,"Hilton Head, SC",South Carolina,"Charlotte, NC",North Carolina,36,1444,1553,1600,7
02-05-19,"Nashville, TN",Tennessee,"Washington, DC",Virginia,38,,2000,,
02-05-19,"Washington, DC",Virginia,"Nashville, TN",Tennessee,54,1450,1604,1636,32
02-05-19,"Jacksonville, FL",Florida,"Washington, DC",Virginia,38,656,858,846,-12
02-05-19,"New York, NY",New York,"Columbus, OH",Ohio,44,553,748,827,39
02-05-19,"Memphis, TN",Tennessee,"Philadelphia, PA",Pennsylvania,23,1101,1434,1422,-12
02-05-19,"Philadelphia, PA",Pennsylvania,"Memphis, TN",Tennessee,54,833,1037,1015,-22
02-05-19,"Miami, FL",Florida,"New Orleans, LA",Louisiana,72,1559,1717,1706,-11
02-05-19,"Charlotte, NC",North Carolina,"Key West, FL",Florida,33,1146,1411,1358,-13
02-05-19,"Key West, FL",Florida,"Charlotte, NC",North Carolina,36,1429,1705,1638,-27
02-05-19,"Nashville, TN",Tennessee,"New York, NY",New York,22,942,1300,1246,-14
02-05-19,"New York, NY",New York,"Nashville, TN",Tennessee,54,656,837,819,-18
02-05-19,"Washington, DC",Virginia,"Huntsville, AL",Alabama,51,,1804,,
02-05-19,"Huntsville, AL",Alabama,"Washington, DC",Virginia,38,,2130,,
02-05-19,"New York, NY",New York,"Raleigh/Durham, NC",North Carolina,36,1404,1559,1556,-3
02-05-19,"Raleigh/Durham, NC",North Carolina,"New York, NY",New York,22,1641,1819,1833,14
02-05-19,"Louisville, KY",Kentucky,"Miami, FL",Florida,33,650,924,926,2
02-05-19,"Indianapolis, IN",Indiana,"Philadelphia, PA",Pennsylvania,23,1502,1700,1644,-16
02-05-19,"Philadelphia, PA",Pennsylvania,"Indianapolis, IN",Indiana,42,1220,1427,1415,-12
02-05-19,"St. Louis, MO",Missouri,"Philadelphia, PA",Pennsylvania,23,605,930,917,-13
02-05-19,"Columbia, SC",South Carolina,"Charlotte, NC",North Carolina,36,1253,1401,1352,-9
02-05-19,"Charlotte, NC",North Carolina,"Columbia, SC",South Carolina,37,1125,1223,1214,-9
02-05-19,"Omaha, NE",Nebraska,"Philadelphia, PA",Pennsylvania,23,550,957,944,-13
02-05-19,"Miami, FL",Florida,"Columbus, OH",Ohio,44,2141,18,4,-14
02-05-19,"New York, NY",New York,"Louisville, KY",Kentucky,52,1256,1527,1516,-11
02-05-19,"Louisville, KY",Kentucky,"New York, NY",New York,22,1550,1807,1808,1
02-05-19,"Washington, DC",Virginia,"Nashville, TN",Tennessee,54,,2321,,
02-05-19,"Indianapolis, IN",Indiana,"Charlotte, NC",North Carolina,36,509,651,649,-2
02-05-19,"Washington, DC",Virginia,"Memphis, TN",Tennessee,54,842,1023,1012,-11
02-05-19,"Memphis, TN",Tennessee,"Washington, DC",Virginia,38,1050,1413,1402,-11
02-05-19,"New Orleans, LA",Louisiana,"Washington, DC",Virginia,38,724,1100,1050,-10
02-05-19,"Atlanta, GA",Georgia,"New York, NY",New York,22,1441,1705,1655,-10
02-05-19,"New York, NY",New York,"Atlanta, GA",Georgia,34,1129,1410,1352,-18
02-05-19,"Washington, DC",Virginia,"Raleigh/Durham, NC",North Carolina,36,648,808,805,-3
02-05-19,"Philadelphia, PA",Pennsylvania,"Nashville, TN",Tennessee,54,1249,1413,1404,-9
02-05-19,"Charlotte, NC",North Carolina,"New Orleans, LA",Louisiana,72,2233,2344,2335,-9
02-05-19,"Miami, FL",Florida,"Minneapolis, MN",Minnesota,63,822,1134,1107,-27
02-05-19,"Minneapolis, MN",Minnesota,"Miami, FL",Florida,33,1208,1650,1657,7
02-05-19,"Indianapolis, IN",Indiana,"Philadelphia, PA",Pennsylvania,23,522,709,707,-2
02-05-19,"Columbus, OH",Ohio,"Charlotte, NC",North Carolina,36,1345,1518,1510,-8
02-05-19,"Washington, DC",Virginia,"Jacksonville, FL",Florida,33,1358,1611,1556,-15
02-05-19,"Philadelphia, PA",Pennsylvania,"Oklahoma City, OK",Oklahoma,73,2055,2336,10,34
02-05-19,"Charlotte, NC",North Carolina,"Indianapolis, IN",Indiana,42,1949,2124,2113,-11
02-05-19,"Hilton Head, SC",South Carolina,"Charlotte, NC",North Carolina,36,650,812,815,3
02-05-19,"Charleston, SC",South Carolina,"Washington, DC",Virginia,38,718,859,841,-18
02-05-19,"Philadelphia, PA",Pennsylvania,"Detroit, MI",Michigan,43,2126,2322,2326,4
02-05-19,"Washington, DC",Virginia,"Columbus, OH",Ohio,44,2154,2317,2309,-8
02-05-19,"Charlotte, NC",North Carolina,"Hilton Head, SC",South Carolina,37,1819,1938,1938,0
02-05-19,"Miami, FL",Florida,"Key West, FL",Florida,33,2139,2244,2234,-10
02-05-19,"Kansas City, MO",Missouri,"Miami, FL",Florida,33,511,919,917,-2
02-05-19,"Burlington, VT",Vermont,"Washington, DC",Virginia,38,555,759,737,-22
02-05-19,"Charlotte, NC",North Carolina,"Key West, FL",Florida,33,817,1044,1035,-9
02-05-19,"Key West, FL",Florida,"Charlotte, NC",North Carolina,36,1109,1335,1331,-4
02-05-19,"Washington, DC",Virginia,"Columbus, OH",Ohio,44,2021,2006,2137,91
02-05-19,"Norfolk, VA",Virginia,"Miami, FL",Florida,33,638,910,852,-18
02-05-19,"Charlotte, NC",North Carolina,"Key West, FL",Florida,33,1422,1637,1627,-10
02-05-19,"Key West, FL",Florida,"Charlotte, NC",North Carolina,36,1702,1923,1922,-1
02-05-19,"Washington, DC",Virginia,"Indianapolis, IN",Indiana,42,3,2351,140,109
02-05-19,"Philadelphia, PA",Pennsylvania,"Pittsburgh, PA",Pennsylvania,23,1750,1911,1914,3
02-05-19,"Miami, FL",Florida,"Norfolk, VA",Virginia,38,2127,2354,2342,-12
02-05-19,"New York, NY",New York,"Louisville, KY",Kentucky,52,1510,1734,1752,18
02-05-19,"New York, NY",New York,"Raleigh/Durham, NC",North Carolina,36,930,1130,1127,-3
02-05-19,"Louisville, KY",Kentucky,"New York, NY",New York,22,1158,1420,1359,-21
02-05-19,"New York, NY",New York,"Louisville, KY",Kentucky,52,900,1140,1121,-19
